36,-,IIN2,India,India,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,JAVAD DELTA,JAVAD,,
37,-,JCH2,Chichijima,Japan,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,JAVAD DELTA,JAVAD,,
38,OK,NKO2,Koganei,Japan,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,JAVAD DELTA,JAVAD,,
39,OK,NOK2,Okinawa,Japan,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,JAVAD DELTA,JAVAD,26.4986,127.8444
40,OK,ATH2,Pathumthani,Thailand,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,JAVAD DELTA,JAVAD,14.0823,100.613
41,OK,GCA2,Canberra,Australia,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,JAVAD DELTA,JAVAD,-35.316,149.0104
42,-,OGU2,Guam,USA,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,JAVAD DELTA,JAVAD,,
43,-,SHA2,Hawaii,USA,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,JAVAD DELTA,JAVAD,,
44,-,GMSD,Tanegashima,Japan,Japan Aerospace Exploration Agency (JAXA),QZSS_MS,Trimble GNSS CRA,Trimble NetR9,RT27,,
45,-,MAHO0,Maui,USA (Hawaii),German Aerospace Center (DLR),CONGO,Leica AR25,JAVAD DELTA,JAVAD,,
46,-,SING0,Singapore,Singapore,German Aerospace Center (DLR),CONGO,Leica AR25,JAVAD DELTA,JAVAD,,
47,-,HRAG0,Hartebeesthoek,South Africa,German Aerospace Center (DLR),CONGO,Leica AR25,JAVAD DELTA,JAVAD,,
48,-,UNSX2,Sydney,Australia,German Aerospace Center (DLR),CONGO,Leica AR25,JAVAD DELTA,JAVAD,,
